País,Clics,Impresiones,CTR,Posición
España,43,2585,1.66%,15.99
Andorra,1,6,16.67%,8.17
Estados Unidos,0,68,0%,7.44
Reino Unido,0,13,0%,7.92
Portugal,0,11,0%,7.55
Francia,0,11,0%,11
Alemania,0,11,0%,19.82
Países Bajos,0,9,0%,10.67
Perú,0,8,0%,6.38
México,0,8,0%,9
Bélgica,0,7,0%,8.43
Argentina,0,7,0%,29.43
Italia,0,5,0%,17.6
Suiza,0,5,0%,18.6
Colombia,0,4,0%,6.5
Brasil,0,4,0%,12.25
Ecuador,0,3,0%,6
Irlanda,0,3,0%,7
Suecia,0,3,0%,9
Polonia,0,3,0%,22.67
Canadá,0,2,0%,6.5
China,0,2,0%,7
Gibraltar,0,2,0%,7.5
Venezuela,0,2,0%,7.5
Chile,0,2,0%,8
Vietnam,0,2,0%,9
La India,0,2,0%,38
Serbia,0,1,0%,1
Grecia,0,1,0%,5
Caribe Neerlandés,0,1,0%,6
Indonesia,0,1,0%,6
Nueva Zelanda,0,1,0%,6
Uruguay,0,1,0%,7
Sudáfrica,0,1,0%,10
Guatemala,0,1,0%,11
Noruega,0,1,0%,11
Turquía,0,1,0%,11
Uzbekistán,0,1,0%,19
Ghana,0,1,0%,20
Taiwán,0,1,0%,21
Rusia,0,1,0%,39
