Fecha,Clics,Impresiones,CTR,Posición
2026-04-23,0,0,,
2026-04-24,0,0,,
2026-04-25,0,0,,
2026-04-26,0,8,0%,59.6
2026-04-27,1,67,1.49%,15.9
2026-04-28,0,92,0%,25.4
2026-04-29,1,89,1.12%,21
2026-04-30,1,94,1.06%,17.6
2026-05-01,3,112,2.68%,18.5
2026-05-02,2,132,1.52%,18.7
2026-05-03,6,138,4.35%,18.7
2026-05-04,1,283,0.35%,22.5
2026-05-05,5,411,1.22%,18.8
2026-05-06,5,523,0.96%,11.2
2026-05-07,19,853,2.23%,10.7
2026-05-08,16,1150,1.39%,11.7
2026-05-09,37,1749,2.12%,10
2026-05-10,28,1497,1.87%,9.7
2026-05-11,29,1200,2.42%,10
2026-05-12,21,1022,2.05%,11.8
2026-05-13,20,1079,1.85%,11.1
2026-05-14,22,1042,2.11%,11.2
2026-05-15,21,920,2.28%,11.1
